,app,content,translation,score,at,appVersion,labelScoreBase
187,satusehat,"Saya sdh di vaksin tapi, blm ada sertifikatnxa,gmn caranxa yah? Mohon petunjuk🙏","I have been in the vaccine but, there is no certificate, how come, how come? Please guide Add",3,2021-10-14 03:41:32,3.4.6,Neutral
188,satusehat,"Halo kak . Kenapa tanggal lahirnya tidak bisa di isi ya kak . Nama dan nik sudah bisa d isi , sedangkan tanggal lahir tidak bisa di isi Mohon bantuanya","Hello sis. Why the date of birth can't be filled in, sis. Names and NIKs can already be contents, while the date of birth cannot be filled in, please help",3,2021-10-14 03:41:11,3.4.6,Neutral
1,satusehat,Josss,JOSSS,5,2021-10-14 06:04:17,3.4.6,Positive
2,satusehat,Jadi lebih waspada sama bahaya covid 19,So more alert to the dangers of Covid 19,5,2021-10-14 06:02:30,3.4.6,Positive
4,satusehat,Mantap...sangat membantu,Great ... very helpful,5,2021-10-14 06:01:28,3.4.6,Positive
5,satusehat,"Semoga sehat semua , aamin","Good luck all, aamin",5,2021-10-14 06:00:24,3.4.6,Positive
6,satusehat,Mantap,Stable,5,2021-10-14 06:00:11,3.4.4,Positive
7,satusehat,Ok,Ok,4,2021-10-14 06:00:09,3.4.6,Positive
8,satusehat,Sangat bermanfaat,Very helpful,5,2021-10-14 05:59:43,,Positive
9,satusehat,Terima kasih dg vaksin rasanya aman dari covid dan tidak membahayakan bagi orang lain terutama merasa Merdeka bisa bebas bepergian dan ber aktivitas.Dan yg lebih penting lagi ikut mendukung program kesehatan WHO.Meringankan relawan satgas covid dan bisa memulai pembelajaran tatap muka ber wira usaha menunaikan ibadah haji terbukanya pariwisata seportivitas.,"Thank you with the vaccine, it feels safe from Covid and is not dangerous to others, especially feeling independent can be free to travel and activities. And more importantly support the WH. Fulfilling the volunteers of the Covid Task Force and can start face -to -face learning attempts to carry out the pilgrimage in the opening of sequence tourism.",5,2021-10-14 05:56:46,3.4.6,Positive
10,satusehat,Mantap,Stable,5,2021-10-14 05:56:41,,Positive
12,satusehat,Oke lah,Okay,4,2021-10-14 05:55:44,3.4.5,Positive
